message,label
Order arrived late. asap,1
Need help with changing my address.,1
Data privacy issue — my info is visible to others!,2
General feedback on your website.,0
Sharing a suggestion for improvement. kindly resolve,0
Serious complaint: wrong person received my order and details! please help,2
The app looks good.,0
Payment confirmation is pending. please help,1
"I was billed incorrectly, please check. kindly resolve",1
Need help with changing my address. kindly resolve,1
My account has been hacked!,2
Urgent: money deducted but order failed! asap,2
Fraud transaction detected on my account! please help,2
"I was charged twice, fix this immediately! asap",2
Prices seem reasonable.!!!,0
"I was billed incorrectly, please check. asap",1
My account has been hacked! kindly resolve,2
My account has been hacked! please help,2
Coupon code is not working. please help,1
Sharing a suggestion for improvement. asap,0
Coupon code is not working.!!!,1
The new update is nice. kindly resolve,0
Urgent: money deducted but order failed! kindly resolve,2
"I was charged twice, fix this immediately!",2
Order arrived late.!!!,1
I like your service. kindly resolve,0
Unauthorized payment from my card!,2
Need help with changing my address.,1
Unable to login sometimes.,1
I like your service.,0
Fraud transaction detected on my account! please help,2
Data privacy issue — my info is visible to others! kindly resolve,2
Sharing a suggestion for improvement. kindly resolve,0
Coupon code is not working. please help,1
Unauthorized payment from my card!,2
Need help with changing my address.,1
Payment taken multiple times!,2
The new update is nice.,0
My delivery was delayed by two days. please help,1
Immediate help needed: account locked with balance inside!,2
Coupon code is not working.,1
General feedback on your website.,0
Data privacy issue — my info is visible to others!,2
I have not received my refund yet.!!!,1
Payment taken multiple times!,2
I like your service. please help,0
Need help with changing my address. asap,1
Overall experience was okay. asap,0
Prices seem reasonable.!!!,0
Tracking info is not updating.,1
Feature request: dark mode would be nice. kindly resolve,0
Feature request: dark mode would be nice. asap,0
Received a damaged package.,1
I like your service. asap,0
Tracking info is not updating. asap,1
Prices seem reasonable.!!!,0
The new update is nice.,0
I like your service.,0
Coupon code is not working. asap,1
General feedback on your website. kindly resolve,0
General feedback on your website. kindly resolve,0
I like your service.!!!,0
My delivery was delayed by two days.,1
Sharing a suggestion for improvement. please help,0
Prices seem reasonable. please help,0
Received a damaged package. asap,1
"I was charged twice, fix this immediately!!!!",2
My delivery was delayed by two days. please help,1
Data privacy issue — my info is visible to others! kindly resolve,2
Feature request: dark mode would be nice. please help,0
Feature request: dark mode would be nice.!!!,0
Your staff was polite. kindly resolve,0
Payment taken multiple times!,2
Serious complaint: wrong person received my order and details! please help,2
Overall experience was okay. kindly resolve,0
I like your service.,0
Need help with changing my address. kindly resolve,1
My delivery was delayed by two days. kindly resolve,1
I like your service. asap,0
Urgent: money deducted but order failed!,2
Overall experience was okay. asap,0
Data privacy issue — my info is visible to others!,2
I have not received my refund yet.,1
Data privacy issue — my info is visible to others!,2
My delivery was delayed by two days.,1
Overall experience was okay.,0
My delivery was delayed by two days. kindly resolve,1
Feature request: dark mode would be nice. kindly resolve,0
Prices seem reasonable.!!!,0
Sharing a suggestion for improvement. asap,0
Payment confirmation is pending. please help,1
Payment taken multiple times!,2
Need help with changing my address. please help,1
Feature request: dark mode would be nice. please help,0
I like your service. asap,0
I like your service. asap,0
Critical: scam activity on my profile!,2
Critical: scam activity on my profile! asap,2
General feedback on your website. asap,0
Payment taken multiple times!,2
Fraud transaction detected on my account! asap,2
Payment taken multiple times!,2
I have not received my refund yet. please help,1
Sharing a suggestion for improvement. please help,0
The new update is nice. please help,0
My delivery was delayed by two days. kindly resolve,1
I like your service. asap,0
I like your service.,0
Received a damaged package.!!!,1
Payment confirmation is pending. please help,1
Serious complaint: wrong person received my order and details! please help,2
Need help with changing my address.!!!,1
Fraud transaction detected on my account! kindly resolve,2
The new update is nice. kindly resolve,0
Critical: scam activity on my profile!!!!,2
Fraud transaction detected on my account! please help,2
Payment taken multiple times!,2
Order arrived late. asap,1
Coupon code is not working. kindly resolve,1
My delivery was delayed by two days.!!!,1
Received a damaged package.!!!,1
Payment taken multiple times!!!!,2
Coupon code is not working. please help,1
Sharing a suggestion for improvement.!!!,0
Need help with changing my address. asap,1
Immediate help needed: account locked with balance inside!!!!,2
General feedback on your website.,0
Just giving feedback about the UI.!!!,0
I like your service.,0
Sharing a suggestion for improvement. please help,0
Received a damaged package.!!!,1
Need help with changing my address. kindly resolve,1
Feature request: dark mode would be nice.,0
"I was charged twice, fix this immediately! kindly resolve",2
Unauthorized payment from my card!!!!,2
The app looks good.,0
Overall experience was okay. kindly resolve,0
"I was billed incorrectly, please check. asap",1
Unable to login sometimes.!!!,1
Received a damaged package.,1
Immediate help needed: account locked with balance inside!,2
Payment taken multiple times!!!!,2
Sharing a suggestion for improvement. please help,0
Urgent: money deducted but order failed!,2
I have not received my refund yet. please help,1
The app looks good. please help,0
Coupon code is not working.!!!,1
Feature request: dark mode would be nice.!!!,0
Immediate help needed: account locked with balance inside! asap,2
My delivery was delayed by two days.,1
Coupon code is not working. asap,1
Payment confirmation is pending. please help,1
Immediate help needed: account locked with balance inside!,2
The new update is nice.!!!,0
Prices seem reasonable. kindly resolve,0
Need help with changing my address. asap,1
My account has been hacked! kindly resolve,2
General feedback on your website.!!!,0
I like your service.!!!,0
Payment taken multiple times!,2
Unable to login sometimes. kindly resolve,1
Your staff was polite.!!!,0
I have not received my refund yet. please help,1
Coupon code is not working.!!!,1
Payment taken multiple times!,2
Payment taken multiple times!!!!,2
Critical: scam activity on my profile!,2
Overall experience was okay. kindly resolve,0
Immediate help needed: account locked with balance inside!,2
My delivery was delayed by two days.,1
The app looks good.,0
Just giving feedback about the UI.!!!,0
Tracking info is not updating. kindly resolve,1
Unable to login sometimes.,1
I like your service. please help,0
General feedback on your website. kindly resolve,0
Order arrived late. please help,1
Order arrived late.!!!,1
Sharing a suggestion for improvement. kindly resolve,0
The new update is nice. kindly resolve,0
Payment taken multiple times!,2
Unauthorized payment from my card!,2
Prices seem reasonable. kindly resolve,0
Received a damaged package. asap,1
Tracking info is not updating.,1
Tracking info is not updating.,1
Urgent: money deducted but order failed! please help,2
Immediate help needed: account locked with balance inside!!!!,2
Payment taken multiple times!,2
Just giving feedback about the UI. please help,0
Unauthorized payment from my card! please help,2
Overall experience was okay. asap,0
Feature request: dark mode would be nice.,0
Feature request: dark mode would be nice.!!!,0
General feedback on your website. kindly resolve,0
"I was charged twice, fix this immediately! please help",2
Need help with changing my address. please help,1
Feature request: dark mode would be nice.!!!,0
Prices seem reasonable. kindly resolve,0
Coupon code is not working.,1
I like your service.,0
Urgent: money deducted but order failed! please help,2
Data privacy issue — my info is visible to others! kindly resolve,2
Your staff was polite.,0
Unable to login sometimes. asap,1
Sharing a suggestion for improvement. please help,0
Coupon code is not working. please help,1
Serious complaint: wrong person received my order and details!!!!,2
"I was billed incorrectly, please check.",1
Urgent: money deducted but order failed!!!!,2
Overall experience was okay. asap,0
Immediate help needed: account locked with balance inside!,2
Immediate help needed: account locked with balance inside! asap,2
Coupon code is not working. kindly resolve,1
Just giving feedback about the UI.!!!,0
Need help with changing my address. please help,1
Urgent: money deducted but order failed!,2
Your staff was polite.,0
Immediate help needed: account locked with balance inside!,2
Sharing a suggestion for improvement. please help,0
Your staff was polite. asap,0
Need help with changing my address.!!!,1
Tracking info is not updating. kindly resolve,1
Urgent: money deducted but order failed! asap,2
Immediate help needed: account locked with balance inside! please help,2
General feedback on your website.!!!,0
Overall experience was okay.,0
The new update is nice. please help,0
Unable to login sometimes.,1
Immediate help needed: account locked with balance inside! please help,2
Overall experience was okay. asap,0
Feature request: dark mode would be nice. kindly resolve,0
Unable to login sometimes.,1
Critical: scam activity on my profile! asap,2
I have not received my refund yet. please help,1
Need help with changing my address. asap,1
My account has been hacked! asap,2
General feedback on your website. kindly resolve,0
Payment taken multiple times! please help,2
Serious complaint: wrong person received my order and details!!!!,2
Data privacy issue — my info is visible to others! kindly resolve,2
Unable to login sometimes.,1
I like your service.!!!,0
Payment taken multiple times!,2
General feedback on your website. kindly resolve,0
Urgent: money deducted but order failed!!!!,2
Unauthorized payment from my card! kindly resolve,2
Data privacy issue — my info is visible to others! kindly resolve,2
Data privacy issue — my info is visible to others! please help,2
Unauthorized payment from my card! kindly resolve,2
Coupon code is not working. please help,1
Coupon code is not working.,1
Fraud transaction detected on my account! asap,2
Critical: scam activity on my profile!,2
Feature request: dark mode would be nice. asap,0
Need help with changing my address. kindly resolve,1
My delivery was delayed by two days.!!!,1
Your staff was polite. please help,0
I like your service.!!!,0
Unable to login sometimes.,1
I like your service. kindly resolve,0
Fraud transaction detected on my account!!!!,2
General feedback on your website.!!!,0
Received a damaged package.,1
My account has been hacked! kindly resolve,2
Payment confirmation is pending. please help,1
Urgent: money deducted but order failed!,2
Data privacy issue — my info is visible to others!,2
Payment taken multiple times! kindly resolve,2
Unable to login sometimes.,1
I like your service. please help,0
Feature request: dark mode would be nice. please help,0
The new update is nice. kindly resolve,0
Unable to login sometimes. please help,1
Unauthorized payment from my card! kindly resolve,2
I like your service.!!!,0
Urgent: money deducted but order failed!,2
Sharing a suggestion for improvement. please help,0
Feature request: dark mode would be nice. asap,0
Immediate help needed: account locked with balance inside! asap,2
My account has been hacked! kindly resolve,2
Need help with changing my address. asap,1
Urgent: money deducted but order failed!,2
The app looks good.!!!,0
Tracking info is not updating. asap,1
I like your service.!!!,0
Prices seem reasonable.!!!,0
Just giving feedback about the UI. kindly resolve,0
Your staff was polite. asap,0
Unauthorized payment from my card!!!!,2
Prices seem reasonable. kindly resolve,0
Feature request: dark mode would be nice.,0
My account has been hacked! please help,2
Need help with changing my address.!!!,1
The app looks good. kindly resolve,0
Payment taken multiple times! please help,2
Urgent: money deducted but order failed! kindly resolve,2
Prices seem reasonable. please help,0
Payment taken multiple times!!!!,2
Sharing a suggestion for improvement. please help,0
Prices seem reasonable.,0
Feature request: dark mode would be nice. please help,0
General feedback on your website. please help,0
Feature request: dark mode would be nice.!!!,0
Order arrived late. asap,1
I have not received my refund yet.!!!,1
Feature request: dark mode would be nice. asap,0
Overall experience was okay.,0
Unable to login sometimes. please help,1
Unauthorized payment from my card!!!!,2
Unauthorized payment from my card!,2
Coupon code is not working.!!!,1
General feedback on your website.!!!,0
Unauthorized payment from my card!,2
The new update is nice. please help,0
Immediate help needed: account locked with balance inside! kindly resolve,2
I like your service.!!!,0
Serious complaint: wrong person received my order and details!!!!,2
Feature request: dark mode would be nice. please help,0
"I was billed incorrectly, please check.",1
Prices seem reasonable. kindly resolve,0
Received a damaged package.,1
Serious complaint: wrong person received my order and details! asap,2
Immediate help needed: account locked with balance inside! asap,2
Need help with changing my address. please help,1
My delivery was delayed by two days.,1
Need help with changing my address.!!!,1
My account has been hacked!,2
Overall experience was okay. please help,0
Need help with changing my address. asap,1
I like your service. asap,0
Fraud transaction detected on my account! kindly resolve,2
My account has been hacked! please help,2
Tracking info is not updating. please help,1
My delivery was delayed by two days. kindly resolve,1
Feature request: dark mode would be nice. please help,0
Payment taken multiple times!!!!,2
Payment taken multiple times! please help,2
The app looks good.!!!,0
Urgent: money deducted but order failed!,2
Need help with changing my address.!!!,1
Urgent: money deducted but order failed! kindly resolve,2
Unable to login sometimes. asap,1
The new update is nice. kindly resolve,0
Need help with changing my address. please help,1
Sharing a suggestion for improvement. kindly resolve,0
Unable to login sometimes.,1
Your staff was polite.,0
Urgent: money deducted but order failed! asap,2
Your staff was polite. asap,0
Coupon code is not working. please help,1
Received a damaged package. asap,1
Unable to login sometimes. kindly resolve,1
General feedback on your website. kindly resolve,0
Serious complaint: wrong person received my order and details! please help,2
Data privacy issue — my info is visible to others! please help,2
I like your service.,0
Immediate help needed: account locked with balance inside!,2
Just giving feedback about the UI.!!!,0
Tracking info is not updating. asap,1
Need help with changing my address. kindly resolve,1
Immediate help needed: account locked with balance inside! asap,2
Payment confirmation is pending.,1
I like your service.!!!,0
Serious complaint: wrong person received my order and details!,2
"I was billed incorrectly, please check. kindly resolve",1
Just giving feedback about the UI. kindly resolve,0
Unauthorized payment from my card!!!!,2
"I was billed incorrectly, please check. asap",1
I like your service. kindly resolve,0
Payment taken multiple times! please help,2
Urgent: money deducted but order failed! please help,2
Tracking info is not updating. kindly resolve,1
"I was charged twice, fix this immediately! please help",2
I have not received my refund yet.,1
Payment confirmation is pending. please help,1
The app looks good. kindly resolve,0
Tracking info is not updating. kindly resolve,1
"I was billed incorrectly, please check.!!!",1
Unable to login sometimes. asap,1
I like your service. asap,0
Payment taken multiple times!,2
"I was charged twice, fix this immediately! asap",2
Payment taken multiple times!!!!,2
Prices seem reasonable.,0
Immediate help needed: account locked with balance inside!,2
"I was charged twice, fix this immediately! please help",2
Payment confirmation is pending. asap,1
"I was billed incorrectly, please check. asap",1
"I was charged twice, fix this immediately! please help",2
I have not received my refund yet. please help,1
"I was billed incorrectly, please check. asap",1
Payment taken multiple times!!!!,2
Tracking info is not updating.,1
Payment taken multiple times! please help,2
Just giving feedback about the UI. kindly resolve,0
Your staff was polite. kindly resolve,0
My account has been hacked! kindly resolve,2
I like your service. please help,0
Serious complaint: wrong person received my order and details!!!!,2
Tracking info is not updating.!!!,1
Just giving feedback about the UI.!!!,0
Unauthorized payment from my card! please help,2
Immediate help needed: account locked with balance inside!!!!,2
Serious complaint: wrong person received my order and details! please help,2
Coupon code is not working. asap,1
Payment confirmation is pending.,1
I like your service. please help,0
Need help with changing my address.!!!,1
Immediate help needed: account locked with balance inside!!!!,2
Payment taken multiple times! kindly resolve,2
Critical: scam activity on my profile! please help,2
Tracking info is not updating. please help,1
Overall experience was okay.!!!,0
Need help with changing my address. asap,1
Serious complaint: wrong person received my order and details!,2
Unauthorized payment from my card! kindly resolve,2
The new update is nice. please help,0
Unauthorized payment from my card! please help,2
Your staff was polite.!!!,0
Sharing a suggestion for improvement.!!!,0
Serious complaint: wrong person received my order and details!,2
Payment taken multiple times!,2
I like your service. kindly resolve,0
Overall experience was okay. asap,0
Received a damaged package.!!!,1
Payment confirmation is pending. kindly resolve,1
"I was billed incorrectly, please check. kindly resolve",1
My delivery was delayed by two days.,1
Unauthorized payment from my card! asap,2
Payment taken multiple times! kindly resolve,2
Sharing a suggestion for improvement. kindly resolve,0
Unable to login sometimes.!!!,1
I have not received my refund yet.,1
My delivery was delayed by two days. kindly resolve,1
Serious complaint: wrong person received my order and details!!!!,2
Payment taken multiple times! asap,2
General feedback on your website.!!!,0
Payment taken multiple times! please help,2
Fraud transaction detected on my account! kindly resolve,2
The new update is nice. kindly resolve,0
Data privacy issue — my info is visible to others! asap,2
Sharing a suggestion for improvement. please help,0
Urgent: money deducted but order failed!,2
Unauthorized payment from my card! asap,2
Data privacy issue — my info is visible to others!,2
The new update is nice.!!!,0
Immediate help needed: account locked with balance inside!!!!,2
General feedback on your website. asap,0
Serious complaint: wrong person received my order and details! please help,2
Need help with changing my address. kindly resolve,1
Coupon code is not working.!!!,1
Your staff was polite. asap,0
Need help with changing my address. asap,1
Payment confirmation is pending.,1
My account has been hacked! asap,2
Immediate help needed: account locked with balance inside! asap,2
Fraud transaction detected on my account!,2
Urgent: money deducted but order failed!,2
Feature request: dark mode would be nice. please help,0
Data privacy issue — my info is visible to others! asap,2
General feedback on your website. please help,0
Need help with changing my address. asap,1
"I was charged twice, fix this immediately!!!!",2
The new update is nice. kindly resolve,0
My delivery was delayed by two days. asap,1
Payment taken multiple times!,2
Prices seem reasonable.!!!,0
Fraud transaction detected on my account! please help,2
Coupon code is not working.!!!,1
Feature request: dark mode would be nice. please help,0
Payment confirmation is pending. please help,1
Fraud transaction detected on my account!!!!,2
Payment confirmation is pending. asap,1
Coupon code is not working. please help,1
Unable to login sometimes.!!!,1
The app looks good.!!!,0
Urgent: money deducted but order failed!!!!,2
The new update is nice. please help,0
Data privacy issue — my info is visible to others!,2
Unauthorized payment from my card! kindly resolve,2
The app looks good.!!!,0
The app looks good. kindly resolve,0
Payment confirmation is pending. kindly resolve,1
Unable to login sometimes.,1
Urgent: money deducted but order failed!!!!,2
Feature request: dark mode would be nice.!!!,0
Urgent: money deducted but order failed! asap,2
Serious complaint: wrong person received my order and details! please help,2
The new update is nice. kindly resolve,0
Unauthorized payment from my card!,2
Need help with changing my address.,1
Payment confirmation is pending.!!!,1
Fraud transaction detected on my account! please help,2
General feedback on your website. kindly resolve,0
"I was charged twice, fix this immediately! kindly resolve",2
Coupon code is not working. please help,1
Feature request: dark mode would be nice. kindly resolve,0
I have not received my refund yet.!!!,1
Coupon code is not working.,1
Need help with changing my address.!!!,1
Just giving feedback about the UI. please help,0
Payment confirmation is pending. asap,1
Urgent: money deducted but order failed! asap,2
Order arrived late. kindly resolve,1
General feedback on your website.,0
Urgent: money deducted but order failed! asap,2
Your staff was polite. kindly resolve,0
Data privacy issue — my info is visible to others!,2
"I was billed incorrectly, please check. please help",1
Prices seem reasonable.!!!,0
"I was billed incorrectly, please check. asap",1
"I was charged twice, fix this immediately! please help",2
Coupon code is not working.,1
Sharing a suggestion for improvement.,0
Tracking info is not updating. kindly resolve,1
Serious complaint: wrong person received my order and details!!!!,2
Coupon code is not working.!!!,1
"I was billed incorrectly, please check. kindly resolve",1
Feature request: dark mode would be nice. kindly resolve,0
Fraud transaction detected on my account! asap,2
Immediate help needed: account locked with balance inside!,2
Received a damaged package.!!!,1
I like your service. asap,0
Overall experience was okay.!!!,0
Overall experience was okay. asap,0
Unauthorized payment from my card! asap,2
The new update is nice.,0
Unauthorized payment from my card!,2
I have not received my refund yet. please help,1
Data privacy issue — my info is visible to others!,2
Prices seem reasonable.,0
"I was charged twice, fix this immediately! kindly resolve",2
"I was billed incorrectly, please check.",1
The app looks good. asap,0
Data privacy issue — my info is visible to others! please help,2
Immediate help needed: account locked with balance inside!!!!,2
Critical: scam activity on my profile!,2
Received a damaged package. asap,1
Overall experience was okay. please help,0
Just giving feedback about the UI. kindly resolve,0
The new update is nice. asap,0
Serious complaint: wrong person received my order and details! please help,2
The new update is nice.,0
Your staff was polite. please help,0
Unauthorized payment from my card!!!!,2
Payment taken multiple times! please help,2
I have not received my refund yet.!!!,1
Unauthorized payment from my card! please help,2
I like your service.!!!,0
Overall experience was okay.,0
I like your service. asap,0
General feedback on your website.!!!,0
My delivery was delayed by two days. kindly resolve,1
My account has been hacked!,2
Payment taken multiple times!,2
Data privacy issue — my info is visible to others!!!!,2
Overall experience was okay. asap,0
My delivery was delayed by two days. asap,1
Received a damaged package. asap,1
Your staff was polite. asap,0
Urgent: money deducted but order failed! kindly resolve,2
Payment taken multiple times! kindly resolve,2
Your staff was polite.!!!,0
Overall experience was okay.,0
General feedback on your website. please help,0
Your staff was polite.!!!,0
Urgent: money deducted but order failed! kindly resolve,2
Feature request: dark mode would be nice.,0
Critical: scam activity on my profile!,2
Unable to login sometimes. please help,1
Tracking info is not updating. asap,1
Need help with changing my address. please help,1
Your staff was polite.!!!,0
Payment confirmation is pending.,1
Unauthorized payment from my card! kindly resolve,2
Just giving feedback about the UI. please help,0
Fraud transaction detected on my account! asap,2
Tracking info is not updating.!!!,1
"I was billed incorrectly, please check. kindly resolve",1
Critical: scam activity on my profile!!!!,2
Payment taken multiple times!,2
The app looks good. kindly resolve,0
Need help with changing my address. asap,1
Prices seem reasonable.,0
I like your service. kindly resolve,0
Payment confirmation is pending. please help,1
Order arrived late. kindly resolve,1
Critical: scam activity on my profile!,2
Fraud transaction detected on my account! kindly resolve,2
My delivery was delayed by two days. kindly resolve,1
Fraud transaction detected on my account!!!!,2
General feedback on your website.!!!,0
The new update is nice.,0
Prices seem reasonable.!!!,0
My account has been hacked!!!!,2
Immediate help needed: account locked with balance inside! asap,2
The app looks good. asap,0
The new update is nice. kindly resolve,0
The new update is nice. kindly resolve,0
Immediate help needed: account locked with balance inside! please help,2
Payment confirmation is pending. please help,1
Critical: scam activity on my profile!,2
I like your service.,0
Data privacy issue — my info is visible to others!,2
Just giving feedback about the UI. kindly resolve,0
Prices seem reasonable.!!!,0
Overall experience was okay.!!!,0
The app looks good.!!!,0
Payment confirmation is pending. please help,1
Unauthorized payment from my card! asap,2
Sharing a suggestion for improvement. please help,0
"I was billed incorrectly, please check.",1
I like your service. kindly resolve,0
The app looks good. asap,0
"I was billed incorrectly, please check.",1
Unable to login sometimes. please help,1
Feature request: dark mode would be nice. please help,0
Payment confirmation is pending. please help,1
Order arrived late.!!!,1
Sharing a suggestion for improvement.,0
I have not received my refund yet. asap,1
I like your service. please help,0
Urgent: money deducted but order failed! please help,2
Need help with changing my address.,1
Order arrived late.,1
"I was charged twice, fix this immediately! asap",2
Immediate help needed: account locked with balance inside!!!!,2
Need help with changing my address. please help,1
Feature request: dark mode would be nice.!!!,0
Need help with changing my address.!!!,1
Data privacy issue — my info is visible to others!!!!,2
I have not received my refund yet. asap,1
Payment confirmation is pending. asap,1
Feature request: dark mode would be nice. asap,0
Data privacy issue — my info is visible to others! kindly resolve,2
The app looks good. asap,0
Sharing a suggestion for improvement. please help,0
Critical: scam activity on my profile! asap,2
Payment taken multiple times!,2
Payment confirmation is pending. asap,1
The app looks good. kindly resolve,0
Sharing a suggestion for improvement.!!!,0
Immediate help needed: account locked with balance inside! asap,2
I like your service. kindly resolve,0
Need help with changing my address. asap,1
Just giving feedback about the UI. asap,0
Payment taken multiple times!,2
Prices seem reasonable.!!!,0
I like your service.,0
Prices seem reasonable.!!!,0
Data privacy issue — my info is visible to others! kindly resolve,2
Payment taken multiple times! please help,2
Just giving feedback about the UI. kindly resolve,0
I like your service.,0
Prices seem reasonable. please help,0
Feature request: dark mode would be nice. asap,0
Fraud transaction detected on my account! kindly resolve,2
Sharing a suggestion for improvement. please help,0
"I was charged twice, fix this immediately! kindly resolve",2
I like your service.!!!,0
Order arrived late. asap,1
Payment confirmation is pending. asap,1
Unable to login sometimes.,1
Serious complaint: wrong person received my order and details! please help,2
My account has been hacked! please help,2
Payment confirmation is pending. please help,1
Just giving feedback about the UI. kindly resolve,0
"I was charged twice, fix this immediately! please help",2
Fraud transaction detected on my account!!!!,2
Payment taken multiple times! please help,2
Fraud transaction detected on my account!!!!,2
Received a damaged package. asap,1
The new update is nice. asap,0
Payment confirmation is pending.,1
"I was charged twice, fix this immediately! asap",2
Tracking info is not updating.,1
I have not received my refund yet. please help,1
Overall experience was okay. asap,0
Serious complaint: wrong person received my order and details!!!!,2
My delivery was delayed by two days.!!!,1
Serious complaint: wrong person received my order and details! asap,2
Feature request: dark mode would be nice. kindly resolve,0
Urgent: money deducted but order failed!,2
Unauthorized payment from my card!,2
The new update is nice.,0
General feedback on your website. kindly resolve,0
Urgent: money deducted but order failed! please help,2
Payment taken multiple times!,2
Prices seem reasonable. kindly resolve,0
I like your service. please help,0
Received a damaged package. asap,1
I like your service. please help,0
Critical: scam activity on my profile! kindly resolve,2
Sharing a suggestion for improvement. please help,0
Critical: scam activity on my profile! please help,2
Unable to login sometimes.,1
My delivery was delayed by two days. asap,1
Just giving feedback about the UI.!!!,0
Serious complaint: wrong person received my order and details!!!!,2
Feature request: dark mode would be nice. kindly resolve,0
Tracking info is not updating. asap,1
Unauthorized payment from my card!!!!,2
Your staff was polite. asap,0
Tracking info is not updating. kindly resolve,1
I like your service.!!!,0
Order arrived late. please help,1
My delivery was delayed by two days. please help,1
Fraud transaction detected on my account! please help,2
Serious complaint: wrong person received my order and details!,2
Order arrived late.!!!,1
Immediate help needed: account locked with balance inside!!!!,2
Urgent: money deducted but order failed! kindly resolve,2
Data privacy issue — my info is visible to others! asap,2
Your staff was polite.,0
Immediate help needed: account locked with balance inside!!!!,2
My account has been hacked! kindly resolve,2
I like your service.!!!,0
My delivery was delayed by two days. kindly resolve,1
Prices seem reasonable.!!!,0
Payment taken multiple times!,2
Immediate help needed: account locked with balance inside! asap,2
Urgent: money deducted but order failed! kindly resolve,2
Immediate help needed: account locked with balance inside!!!!,2
The new update is nice. kindly resolve,0
My delivery was delayed by two days.!!!,1
Unable to login sometimes. kindly resolve,1
The new update is nice. kindly resolve,0
Received a damaged package.!!!,1
Data privacy issue — my info is visible to others!,2
General feedback on your website.,0
Overall experience was okay.!!!,0
Unable to login sometimes. asap,1
Just giving feedback about the UI. kindly resolve,0
Tracking info is not updating. please help,1
"I was billed incorrectly, please check. asap",1
Unauthorized payment from my card! kindly resolve,2
Received a damaged package. kindly resolve,1
Received a damaged package. please help,1
Unable to login sometimes. kindly resolve,1
I like your service. kindly resolve,0
The new update is nice.,0
My account has been hacked! please help,2
Overall experience was okay.,0
My delivery was delayed by two days. kindly resolve,1
Tracking info is not updating. please help,1
Received a damaged package. asap,1
Prices seem reasonable. please help,0
Critical: scam activity on my profile! kindly resolve,2
Serious complaint: wrong person received my order and details! please help,2
Coupon code is not working.,1
The app looks good.!!!,0
Serious complaint: wrong person received my order and details! please help,2
My delivery was delayed by two days.!!!,1
Urgent: money deducted but order failed!,2
Just giving feedback about the UI.!!!,0
My delivery was delayed by two days. asap,1
Order arrived late. asap,1
Coupon code is not working. kindly resolve,1
Unauthorized payment from my card! please help,2
Data privacy issue — my info is visible to others!,2
Need help with changing my address.,1
The app looks good. asap,0
My account has been hacked! kindly resolve,2
My delivery was delayed by two days. please help,1
Unauthorized payment from my card! asap,2
Your staff was polite. kindly resolve,0
General feedback on your website. please help,0
Coupon code is not working.!!!,1
Serious complaint: wrong person received my order and details! please help,2
The new update is nice. asap,0
Payment confirmation is pending. asap,1
Your staff was polite.!!!,0
Unauthorized payment from my card!,2
Feature request: dark mode would be nice. asap,0
Coupon code is not working. please help,1
"I was charged twice, fix this immediately! kindly resolve",2
My delivery was delayed by two days. kindly resolve,1
Payment taken multiple times!,2
I have not received my refund yet. please help,1
Payment taken multiple times! please help,2
